pl_name,pl_rade,pl_bmasse,pl_orbper,pl_eqt,st_teff,st_rad
"TOI-1807 b",1.49681583,2.44000000,0.54937097000,1694.10,4914.00,0.746000
"WASP-78 b",23.09054000,273.33380000,2.17517300000,2469.70,6100.00,2.350000
"GJ 9827 b",1.44000000,4.28000000,1.20897400000,1035.01,4236.00,0.580000
"TOI-1801 b",1.96061882,16.00000000,10.64398500000,431.03,3748.00,0.512800
"GJ 1252 b",1.19300000,1.32000000,0.51823310000,,3458.00,0.391000
"WASP-182 b",9.52765000,47.03884000,3.37698480000,1479.00,5638.00,1.340000
"K2-3 c",1.58200000,2.68000000,24.64672900000,371.80,3844.00,0.546000
"WASP-12 b",20.84874000,638.83830000,1.09142119000,2483.00,6300.00,
"TOI-4201 b",12.66614819,816.81900599,3.58191340000,750.00,3926.00,0.616000
"WASP-3 b",14.68379000,559.38080000,1.84683400000,1960.00,6400.00,1.310000
"WASP-24 b",14.60532700,352.47347000,2.34122170000,1772.00,6107.00,1.317000
"NGTS-6 b",14.86313400,425.57437000,0.88205900000,1283.90,4730.00,0.754000
"CoRoT-2 b",16.43200000,1102.82000000,1.74299350000,,5625.00,0.906000
"TOI-5005 b",6.25000000,32.70000000,6.30850440000,1040.00,5749.00,0.930000
"TOI-5634 A b",10.42000000,588.00000000,2.20353730000,837.00,3896.00,0.540000
"HD 73583 c",2.39000000,9.70000000,18.87974000000,498.00,4511.00,0.650000
"TOI-2076 b",2.77062554,16.10000000,10.35509600000,687.68,5192.00,0.796000
"CoRoT-32 b",6.38913000,47.67450000,6.71837000000,938.00,5970.00,0.790000
"HAT-P-19 b",12.68858800,90.26372000,4.00877800000,,4990.00,0.820000
"HD 332231 b",9.71820300,77.55052000,18.71204000000,876.00,6089.00,1.277000
"WASP-25 b",13.67498000,184.34140000,3.76482500000,,5750.00,0.920000
"WASP-77 A b",13.50000000,572.10000000,1.40000000000,1650.00,5500.00,
"TOI-125 c",2.75900000,6.63000000,9.15059000000,827.80,5320.00,0.848000
"TOI-329 b",4.94057819,40.40000000,5.70439000000,1213.02,5614.00,1.532600
"K2-261 b",9.52763359,59.75174052,11.63347800000,1046.00,5445.00,1.642000
"HAT-P-65 b",21.18501000,167.49641000,2.60545520000,1930.00,5835.00,1.860000
"Qatar-1 b",13.22662000,422.71390000,1.42002504000,1389.00,4910.00,0.800000
"K2-39 b",6.40000000,37.60000000,4.60547000000,1550.00,4915.00,3.080000
"HATS-6 b",11.18658200,101.38777000,3.32527250000,712.80,3724.00,0.570000
"TOI-1260 b",2.34000000,8.60000000,3.12748000000,860.00,4227.00,0.650000
"TOI-837 b",9.71000000,116.00000000,8.32491020000,1022.00,6000.00,1.036000
"TOI-270 c",2.33000000,6.20000000,5.66051000000,489.00,3506.00,0.380000
"LTT 1445 A b",1.43000000,2.32000000,5.35876500000,,,0.276000
"WASP-63 b",14.90797000,107.74437000,4.37809000000,,5550.00,1.760000
"CoRoT-12 b",15.13215000,281.91521000,2.82804200000,1410.00,5675.00,1.046000
"WASP-47 e",1.77300000,6.91000000,0.79000000000,,5552.00,1.125000
"WASP-100 b",18.94321000,645.19490000,2.84937500000,,,2.000000
"K2-199 c",2.85000000,12.40000000,7.37448970000,694.00,4491.00,0.682000
"HIP 94235 b",3.00000000,379.00000000,7.71305700000,1060.00,5991.00,1.080000
"TOI-270 b",1.28000000,1.48000000,3.35992000000,600.00,3506.00,0.380000
"WASP-5 b",13.12573900,520.28771000,1.62842460000,1732.00,5700.00,1.084000
"HD 93963 A c",3.22800000,19.20000000,3.64513980000,1344.00,5987.00,1.043000
"WASP-84 b",10.55900000,220.56500000,8.52348650000,797.00,5314.00,0.748000
"TOI-1836 b",8.56366125,29.24021344,20.38084000000,,6198.00,1.630000
"HATS-5 b",10.22300000,75.32300000,4.76338700000,1025.00,5304.00,0.871000
"TOI-849 b",3.64000000,41.80000000,0.76554800000,,5257.00,0.970000
"TOI-4127 b",12.28504285,731.00533610,56.39879000000,605.10,6096.00,1.293000
"TOI-1453 c",2.22400000,2.95000000,6.58869820000,819.80,4975.00,0.720000
"HIP 97166 b",2.48013380,19.10000000,10.28891400000,701.66,5216.00,0.841800
"WASP-76 b",19.39153661,276.51071409,1.80988600000,2153.60,6250.00,1.700000
"Kepler-4 b",4.12491200,23.83725000,3.21365800000,1620.00,5857.00,1.480000
"WASP-171 b",10.98482000,344.52772000,3.81862440000,1642.00,5965.00,1.637000
"WASP-22 b",12.98002200,181.16310000,3.53273130000,,6000.00,1.219000
"TOI-2525 b",8.67575106,26.69758619,23.28560000000,,5096.00,0.785000
"HAT-P-34 b",13.41717300,1058.37390000,5.45265400000,,6442.00,1.530000
"K2-141 b",1.49300000,5.16000000,0.28000000000,,4599.00,0.686200
"HD 191939 c",3.08000000,7.20000000,28.58050000000,605.00,5348.00,0.940000
"WASP-80 b",10.67096800,171.62820000,3.06785952000,,4150.00,0.571000
"EPIC 211945201 b",5.50000000,11.00000000,19.49100000000,809.00,6019.00,1.387000
"TOI-561 e",2.55000000,12.60000000,77.03000000000,415.00,5372.00,0.843000
"WASP-7 b",14.90797000,305.11680000,4.95464160000,1487.00,6400.00,1.432000
"HAT-P-23 b",15.33400000,664.23700000,1.21288400000,2056.00,5905.00,1.203000
"XO-2 N b",11.11932800,176.39565000,2.61586400000,1328.00,5340.00,0.970000
"TOI-5110 b",11.98240037,921.70238030,30.15857700000,976.00,6160.00,2.333000
"Qatar-7 b",19.05530000,597.52040000,2.03204600000,2053.00,6387.00,1.564000
"WASP-74 b",15.73743600,262.52758000,2.13774450000,1926.00,5984.00,1.536000
"55 Cnc e",2.08000000,7.81000000,0.73654370000,1958.00,5234.00,0.943000
"K2-32 b",5.38000000,21.10000000,8.99218000000,,5315.00,0.870000
"TOI-178 d",2.69500000,5.20000000,6.55756900000,,4316.00,0.662000
"TOI-942 c",4.79300000,37.00000000,10.16050000000,,4969.00,0.893000
"Wendelstein-1 b",11.56096260,188.15536000,2.66341600000,2198.00,4251.00,0.610000
"K2-132 b",14.57170000,155.73670000,9.17510000000,,4840.00,3.850000
"K2-138 d",2.39000000,7.92000000,5.40479000000,,5356.30,0.863000
"TrES-2 b",13.67498000,380.76034000,2.47062100000,,,1.000000
"WASP-142 b",17.14977000,266.97720000,2.05286800000,2000.00,6010.00,1.640000
"HATS-29 b",14.02245900,207.54299000,4.60587490000,1212.00,5670.00,1.073000
"HAT-P-14 b",13.45080000,724.65240000,4.62764900000,1612.00,6583.00,1.530000
"HAT-P-2 b",12.96881300,2765.12100000,5.63347540000,,6290.00,1.640000
"Kepler-65 c",2.62300000,5.40000000,5.85969700000,,,1.437000
"WASP-15 b",15.80469000,171.62820000,3.75210000000,,6300.00,1.480000
"Kepler-422 b",12.89035000,155.73670000,7.89144830000,,5972.00,1.240000
"HD 97658 b",2.35389000,8.88262703,9.49090000000,,5175.00,0.740000
"HAT-P-20 b",9.71820300,2310.62410000,2.87531860000,,4595.00,0.694000
"WASP-44 b",11.23139866,276.19288568,2.42381330000,1304.00,,0.865000
"KELT-21 b",17.77747400,1242.71530000,3.61276470000,2051.00,7598.00,1.638000
"HAT-P-16 b",14.44800000,1332.60500000,2.77596000000,1626.00,6158.00,1.237000
"Kepler-37 b",0.32000000,10.00000000,13.36750000000,,5417.00,0.770000
"TOI-2136 b",2.09000000,15.00000000,7.85191000000,403.00,3366.00,0.335000
"XO-7 b",15.35630356,225.65816897,2.86414200000,,6250.00,1.480000
"HD 136352 d",2.50700000,8.66000000,107.13630000000,,5664.00,1.054000
"Kepler-15 b",10.76064000,201.18639000,4.94278090000,,5520.00,0.992000
"WASP-45 b",13.00244000,318.78349000,3.12608760000,,5100.00,0.945000
"WASP-47 d",3.71000000,16.80000000,9.09500000000,,5576.00,1.160000
"K2-97 b",14.68379000,152.55840000,8.40610000000,,4790.00,4.200000
"TOI-5786 b",8.54000000,73.00000000,12.77910700000,1040.00,6235.00,1.360000
"XO-4 b",14.01125000,451.31860000,4.12508000000,,6397.00,1.450000
"WASP-45 b",10.60371400,306.38812000,3.12608900000,1153.00,5150.00,0.855000
